gate_id,station,gate_number,direction_description,nearby_landmark
461,154,2,Towards Commercial Hub,Central Park near Shiv Vihar
462,155,1,Towards South Block,Bank Branch near Shaheed Sthal
463,155,2,Towards North Block,Post Office near Shaheed Sthal
464,155,3,Towards East Avenue,Bus Terminus near Shaheed Sthal
465,156,1,Towards North Block,Local Market near Hindon River
466,156,2,Towards East Avenue,Sports Complex near Hindon River
467,156,3,Towards Residential Area,Local Market near Hindon River
468,157,1,Towards South Block,Bank Branch near Arthala
469,157,2,Towards North Block,Bus Terminus near Arthala
470,157,3,Towards Main Road,Post Office near Arthala
471,158,1,Towards North Block,City Mall near Mohan Nagar
472,158,2,Towards Main Road,Bank Branch near Mohan Nagar
473,158,3,Towards West Avenue,Bus Terminus near Mohan Nagar
474,159,1,Towards South Block,Local Market near Shyam park
475,159,2,Towards Bus Stand,Bank Branch near Shyam park
476,160,1,Towards Commercial Hub,Post Office near Major Mohit Sharma
477,160,2,Towards Residential Area,Post Office near Major Mohit Sharma
478,160,3,Towards Main Road,Bus Terminus near Major Mohit Sharma
479,161,1,Towards Main Road,Bank Branch near Raj Bagh
480,161,2,Towards South Block,Hospital near Raj Bagh
481,161,3,Towards Residential Area,Bus Terminus near Raj Bagh
482,162,1,Towards East Avenue,Hospital near Shaheed Nagar
483,162,2,Towards Bus Stand,Hospital near Shaheed Nagar
484,162,3,Towards South Block,PVR Cinemas near Shaheed Nagar
485,163,1,Towards North Block,Hospital near Dilshad Garden
486,163,2,Towards North Block,Sports Complex near Dilshad Garden
487,163,3,Towards North Block,Police Station near Dilshad Garden
488,163,4,Towards Residential Area,Sports Complex near Dilshad Garden
489,164,1,Towards Commercial Hub,Local Market near Jhilmil
490,164,2,Towards East Avenue,PVR Cinemas near Jhilmil
491,165,1,Towards Residential Area,University near Mansarovar Park
492,165,2,Towards Main Road,Bus Terminus near Mansarovar Park
493,165,3,Towards Residential Area,Sports Complex near Mansarovar Park
494,166,1,Towards North Block,Bank Branch near Shahdara
495,166,2,Towards East Avenue,Post Office near Shahdara
496,166,3,Towards South Block,Central Park near Shahdara
497,167,1,Towards Bus Stand,Sports Complex near Welcome
498,167,2,Towards Main Road,Bank Branch near Welcome
499,167,3,Towards South Block,Bank Branch near Welcome
500,167,4,Towards Bus Stand,Post Office near Welcome
501,168,1,Towards West Avenue,Bus Terminus near Seelampur
502,168,2,Towards East Avenue,Central Park near Seelampur
503,169,1,Towards Main Road,City Mall near Shastri Park
504,169,2,Towards North Block,Sports Complex near Shastri Park
505,170,1,Towards Residential Area,Local Market near Kashmere Gate
506,170,2,Towards Commercial Hub,University near Kashmere Gate
507,171,1,Towards South Block,Post Office near Tis Hazari
508,171,2,Towards East Avenue,Bank Branch near Tis Hazari
509,171,3,Towards Commercial Hub,University near Tis Hazari
510,172,1,Towards Residential Area,Sports Complex near Pul Bangash
511,172,2,Towards East Avenue,Bus Terminus near Pul Bangash
512,172,3,Towards Main Road,Police Station near Pul Bangash
513,172,4,Towards Bus Stand,Sports Complex near Pul Bangash
514,173,1,Towards Bus Stand,Police Station near Pratap Nagar
515,173,2,Towards Residential Area,Post Office near Pratap Nagar
516,173,3,Towards South Block,PVR Cinemas near Pratap Nagar
517,174,1,Towards South Block,City Mall near Shastri Nagar
518,174,2,Towards East Avenue,Bus Terminus near Shastri Nagar
519,174,3,Towards Bus Stand,Central Park near Shastri Nagar
520,174,4,Towards West Avenue,Central Park near Shastri Nagar
521,175,1,Towards Bus Stand,Post Office near Inderlok
522,175,2,Towards Main Road,City Mall near Inderlok
523,175,3,Towards South Block,Local Market near Inderlok
524,175,4,Towards Commercial Hub,Bank Branch near Inderlok
525,176,1,Towards Residential Area,PVR Cinemas near Kanhaiya Nagar
526,176,2,Towards Bus Stand,Bank Branch near Kanhaiya Nagar
527,177,1,Towards Bus Stand,Police Station near Keshav Puram
528,177,2,Towards Commercial Hub,Bank Branch near Keshav Puram
529,178,1,Towards North Block,Hospital near Netaji Subhash Place
530,178,2,Towards Commercial Hub,PVR Cinemas near Netaji Subhash Place
531,179,1,Towards Commercial Hub,Central Park near Kohat Enclave
532,179,2,Towards Main Road,Hospital near Kohat Enclave
533,179,3,Towards Main Road,Police Station near Kohat Enclave
534,180,1,Towards South Block,City Mall near Pitampura
535,180,2,Towards Commercial Hub,Bus Terminus near Pitampura
536,181,1,Towards Commercial Hub,University near Rohini East
537,181,2,Towards Residential Area,Central Park near Rohini East
538,182,1,Towards West Avenue,Police Station near Rohini West
539,182,2,Towards Residential Area,Sports Complex near Rohini West
540,182,3,Towards Bus Stand,Bank Branch near Rohini West
541,183,1,Towards North Block,Sports Complex near Rithala
542,183,2,Towards Main Road,City Mall near Rithala
543,184,1,Towards East Avenue,University near Kashmere Gate
544,184,2,Towards Residential Area,Sports Complex near Kashmere Gate
545,184,3,Towards West Avenue,Central Park near Kashmere Gate
546,185,1,Towards South Block,Bank Branch near Lal Quila
547,185,2,Towards Commercial Hub,Central Park near Lal Quila
548,186,1,Towards North Block,Bank Branch near Jama Masjid
549,186,2,Towards South Block,University near Jama Masjid
550,187,1,Towards North Block,Sports Complex near Delhi Gate
551,187,2,Towards East Avenue,Central Park near Delhi Gate
552,187,3,Towards Residential Area,Post Office near Delhi Gate
553,187,4,Towards Bus Stand,University near Delhi Gate
554,188,1,Towards Bus Stand,University near ITO
555,188,2,Towards South Block,Sports Complex near ITO
556,188,3,Towards East Avenue,University near ITO
557,189,1,Towards Residential Area,Police Station near Mandi House
558,189,2,Towards East Avenue,Police Station near Mandi House
559,189,3,Towards North Block,Police Station near Mandi House
560,189,4,Towards Commercial Hub,Post Office near Mandi House
561,190,1,Towards Residential Area,Central Park near Janpath
562,190,2,Towards Residential Area,Central Park near Janpath
563,190,3,Towards East Avenue,Central Park near Janpath
564,191,1,Towards South Block,Hospital near Central Secretariat
565,191,2,Towards Main Road,Bank Branch near Central Secretariat
566,191,3,Towards South Block,Post Office near Central Secretariat
567,191,4,Towards Residential Area,University near Central Secretariat
568,192,1,Towards East Avenue,City Mall near Khan Market
569,192,2,Towards North Block,Bank Branch near Khan Market
570,192,3,Towards North Block,Police Station near Khan Market
571,193,1,Towards Bus Stand,Hospital near Jawaharlal Nehru Stadium
572,193,2,Towards West Avenue,Local Market near Jawaharlal Nehru Stadium
573,194,1,Towards South Block,PVR Cinemas near Jangpura
574,194,2,Towards South Block,Central Park near Jangpura
575,195,1,Towards Bus Stand,University near Lajpat Nagar
576,195,2,Towards Main Road,Bank Branch near Lajpat Nagar
577,195,3,Towards North Block,City Mall near Lajpat Nagar
578,196,1,Towards North Block,Bus Terminus near Moolchand
579,196,2,Towards South Block,Police Station near Moolchand
580,197,1,Towards Commercial Hub,Hospital near Kailash Colony
581,197,2,Towards East Avenue,Central Park near Kailash Colony
582,198,1,Towards Main Road,Central Park near Nehru Place
583,198,2,Towards Bus Stand,University near Nehru Place
584,199,1,Towards West Avenue,Police Station near Kalkaji Mandir
585,199,2,Towards Commercial Hub,Police Station near Kalkaji Mandir
586,199,3,Towards North Block,Police Station near Kalkaji Mandir
587,200,1,Towards Residential Area,City Mall near Govind Puri
588,200,2,Towards Commercial Hub,Hospital near Govind Puri
589,200,3,Towards Main Road,Post Office near Govind Puri
590,200,4,Towards Residential Area,Bus Terminus near Govind Puri
591,201,1,Towards East Avenue,Sports Complex near Harkesh Nagar Okhla
592,201,2,Towards West Avenue,University near Harkesh Nagar Okhla
593,201,3,Towards North Block,Local Market near Harkesh Nagar Okhla
594,202,1,Towards Residential Area,Police Station near Jasola Apollo
595,202,2,Towards East Avenue,Central Park near Jasola Apollo
596,202,3,Towards North Block,Post Office near Jasola Apollo
597,202,4,Towards West Avenue,PVR Cinemas near Jasola Apollo
598,203,1,Towards North Block,City Mall near Sarita Vihar
599,203,2,Towards Bus Stand,University near Sarita Vihar
600,203,3,Towards Main Road,City Mall near Sarita Vihar
601,203,4,Towards Bus Stand,Bus Terminus near Sarita Vihar
602,204,1,Towards Commercial Hub,Bus Terminus near Mohan Estate
603,204,2,Towards North Block,Police Station near Mohan Estate
604,205,1,Towards Main Road,Sports Complex near Tughlakabad Station
605,205,2,Towards East Avenue,Hospital near Tughlakabad Station
606,206,1,Towards East Avenue,PVR Cinemas near Badarpur Border
607,206,2,Towards Bus Stand,PVR Cinemas near Badarpur Border
608,207,1,Towards South Block,Central Park near Sarai
609,207,2,Towards East Avenue,City Mall near Sarai
610,207,3,Towards East Avenue,City Mall near Sarai
611,207,4,Towards West Avenue,Central Park near Sarai
612,208,1,Towards East Avenue,Bank Branch near NHPC Chowk
613,208,2,Towards East Avenue,Post Office near NHPC Chowk
614,208,3,Towards East Avenue,Bus Terminus near NHPC Chowk
615,209,1,Towards East Avenue,City Mall near Mewala Maharajpur
616,209,2,Towards South Block,Hospital near Mewala Maharajpur
617,210,1,Towards West Avenue,Police Station near Sector 28
618,210,2,Towards Residential Area,University near Sector 28
619,210,3,Towards Residential Area,Local Market near Sector 28
620,210,4,Towards East Avenue,Bank Branch near Sector 28
621,211,1,Towards Residential Area,University near Badkal Mor
622,211,2,Towards North Block,Police Station near Badkal Mor
623,211,3,Towards Bus Stand,Police Station near Badkal Mor
624,212,1,Towards Residential Area,PVR Cinemas near Old Faridabad
625,212,2,Towards Residential Area,PVR Cinemas near Old Faridabad
626,213,1,Towards Bus Stand,Police Station near Neelam Chowk Ajronda
627,213,2,Towards South Block,Post Office near Neelam Chowk Ajronda
628,213,3,Towards Commercial Hub,Local Market near Neelam Chowk Ajronda
629,213,4,Towards Residential Area,Hospital near Neelam Chowk Ajronda
630,214,1,Towards Bus Stand,Hospital near Bata Chowk
631,214,2,Towards Commercial Hub,Post Office near Bata Chowk
632,214,3,Towards Residential Area,Hospital near Bata Chowk
633,215,1,Towards West Avenue,Sports Complex near Escorts Mujesar
634,215,2,Towards West Avenue,Post Office near Escorts Mujesar
635,215,3,Towards South Block,Post Office near Escorts Mujesar
636,215,4,Towards South Block,Hospital near Escorts Mujesar
637,216,1,Towards Residential Area,Sports Complex near Sant Surdas (Sihi)
638,216,2,Towards West Avenue,Post Office near Sant Surdas (Sihi)
639,216,3,Towards North Block,Bus Terminus near Sant Surdas (Sihi)
640,217,1,Towards Main Road,Police Station near Raja Nahar Singh
641,217,2,Towards Residential Area,Bus Terminus near Raja Nahar Singh
642,217,3,Towards West Avenue,Sports Complex near Raja Nahar Singh
643,217,4,Towards Main Road,City Mall near Raja Nahar Singh
644,218,1,Towards North Block,Central Park near Samaypur Badli
645,218,2,Towards Residential Area,Bank Branch near Samaypur Badli
646,218,3,Towards East Avenue,Sports Complex near Samaypur Badli
647,219,1,Towards Main Road,"Sports Complex near Rohini Sector 18, 19"
648,219,2,Towards Bus Stand,"Police Station near Rohini Sector 18, 19"
649,219,3,Towards West Avenue,"PVR Cinemas near Rohini Sector 18, 19"
650,219,4,Towards Commercial Hub,"City Mall near Rohini Sector 18, 19"
651,220,1,Towards Residential Area,Police Station near Haiderpur Badli Mor
652,220,2,Towards Residential Area,PVR Cinemas near Haiderpur Badli Mor
653,220,3,Towards Commercial Hub,City Mall near Haiderpur Badli Mor
654,221,1,Towards West Avenue,Sports Complex near Jahangirpuri
655,221,2,Towards Commercial Hub,Police Station near Jahangirpuri
656,222,1,Towards North Block,University near Adarsh Nagar
657,222,2,Towards East Avenue,Police Station near Adarsh Nagar
658,222,3,Towards Main Road,Post Office near Adarsh Nagar
659,223,1,Towards South Block,Central Park near Azadpur
660,223,2,Towards South Block,Central Park near Azadpur
661,223,3,Towards East Avenue,Bus Terminus near Azadpur
662,223,4,Towards North Block,Post Office near Azadpur
663,224,1,Towards Commercial Hub,Police Station near Model Town
664,224,2,Towards Residential Area,Bank Branch near Model Town
665,224,3,Towards Commercial Hub,Police Station near Model Town
666,224,4,Towards North Block,Post Office near Model Town
667,225,1,Towards East Avenue,Hospital near Guru Tegh Bahadur Nagar
668,225,2,Towards Residential Area,Bus Terminus near Guru Tegh Bahadur Nagar
669,225,3,Towards East Avenue,Post Office near Guru Tegh Bahadur Nagar
670,225,4,Towards South Block,Hospital near Guru Tegh Bahadur Nagar
671,226,1,Towards Residential Area,Post Office near Vishwavidyalaya
672,226,2,Towards East Avenue,PVR Cinemas near Vishwavidyalaya
673,226,3,Towards South Block,City Mall near Vishwavidyalaya
674,226,4,Towards South Block,Bus Terminus near Vishwavidyalaya
675,227,1,Towards Bus Stand,Police Station near Vidhan Sabha
676,227,2,Towards West Avenue,Local Market near Vidhan Sabha
677,228,1,Towards Commercial Hub,Hospital near Civil Lines
678,228,2,Towards Residential Area,Bus Terminus near Civil Lines
679,229,1,Towards Main Road,Post Office near Kashmere Gate
680,229,2,Towards South Block,Bank Branch near Kashmere Gate
681,230,1,Towards East Avenue,Hospital near Chandni Chowk
682,230,2,Towards Commercial Hub,Hospital near Chandni Chowk
683,231,1,Towards Commercial Hub,Sports Complex near Chawri Bazar
684,231,2,Towards Main Road,University near Chawri Bazar
685,231,3,Towards South Block,Post Office near Chawri Bazar
686,231,4,Towards Bus Stand,Sports Complex near Chawri Bazar
687,232,1,Towards North Block,Sports Complex near New Delhi
688,232,2,Towards Bus Stand,PVR Cinemas near New Delhi
689,232,3,Towards Bus Stand,Bus Terminus near New Delhi
690,232,4,Towards West Avenue,Local Market near New Delhi
691,233,1,Towards West Avenue,Sports Complex near Rajiv Chowk
692,233,2,Towards North Block,University near Rajiv Chowk
693,233,3,Towards East Avenue,Hospital near Rajiv Chowk
694,234,1,Towards Commercial Hub,Bus Terminus near Patel Chowk
695,234,2,Towards Main Road,Post Office near Patel Chowk
696,235,1,Towards South Block,PVR Cinemas near Central Secretariat
697,235,2,Towards Residential Area,PVR Cinemas near Central Secretariat
698,235,3,Towards Residential Area,Bus Terminus near Central Secretariat
699,236,1,Towards Commercial Hub,Bus Terminus near Udyog Bhawan
700,236,2,Towards West Avenue,PVR Cinemas near Udyog Bhawan
701,237,1,Towards East Avenue,Central Park near Lok Kalyan Marg
702,237,2,Towards Bus Stand,Sports Complex near Lok Kalyan Marg
703,238,1,Towards Main Road,University near Jor Bagh
704,238,2,Towards Main Road,University near Jor Bagh
705,238,3,Towards South Block,Local Market near Jor Bagh
706,239,1,Towards Residential Area,Police Station near Dilli Haat - INA
707,239,2,Towards Bus Stand,City Mall near Dilli Haat - INA
708,239,3,Towards South Block,Central Park near Dilli Haat - INA
709,240,1,Towards South Block,Hospital near AIIMS
710,240,2,Towards Commercial Hub,City Mall near AIIMS
711,240,3,Towards North Block,Sports Complex near AIIMS
712,240,4,Towards Commercial Hub,Sports Complex near AIIMS
713,241,1,Towards Main Road,Central Park near Green Park
714,241,2,Towards Main Road,Bus Terminus near Green Park
715,241,3,Towards Bus Stand,Hospital near Green Park
716,242,1,Towards East Avenue,Central Park near Hauz Khas
717,242,2,Towards North Block,Local Market near Hauz Khas
718,242,3,Towards North Block,Central Park near Hauz Khas
719,242,4,Towards Main Road,Local Market near Hauz Khas
720,243,1,Towards West Avenue,Central Park near Malviya Nagar
721,243,2,Towards Residential Area,Sports Complex near Malviya Nagar
722,243,3,Towards Main Road,Post Office near Malviya Nagar
723,244,1,Towards Bus Stand,Hospital near Saket
724,244,2,Towards North Block,University near Saket
725,244,3,Towards Main Road,Bank Branch near Saket
726,244,4,Towards South Block,Local Market near Saket
727,245,1,Towards East Avenue,Hospital near Qutab Minar
728,245,2,Towards Residential Area,PVR Cinemas near Qutab Minar
729,245,3,Towards South Block,Central Park near Qutab Minar
730,245,4,Towards Main Road,University near Qutab Minar
731,246,1,Towards Main Road,Post Office near Chhatarpur
732,246,2,Towards East Avenue,Police Station near Chhatarpur
733,246,3,Towards North Block,City Mall near Chhatarpur
734,247,1,Towards Residential Area,Police Station near Sultanpur
735,247,2,Towards Bus Stand,Post Office near Sultanpur
736,247,3,Towards Residential Area,Bank Branch near Sultanpur
737,248,1,Towards South Block,Hospital near Ghitorni
738,248,2,Towards Main Road,Police Station near Ghitorni
739,248,3,Towards South Block,Post Office near Ghitorni
740,248,4,Towards Commercial Hub,Post Office near Ghitorni
741,249,1,Towards West Avenue,Post Office near Arjan Garh
742,249,2,Towards Commercial Hub,Hospital near Arjan Garh
743,249,3,Towards Residential Area,Sports Complex near Arjan Garh
744,250,1,Towards North Block,Local Market near Guru Dronacharya
745,250,2,Towards Main Road,Local Market near Guru Dronacharya
746,251,1,Towards South Block,Bus Terminus near Sikandarpur
747,251,2,Towards East Avenue,PVR Cinemas near Sikandarpur
748,252,1,Towards North Block,City Mall near MG Road
749,252,2,Towards Bus Stand,Bus Terminus near MG Road
750,252,3,Towards South Block,City Mall near MG Road
751,253,1,Towards South Block,Bus Terminus near IFFCO Chowk
752,253,2,Towards Residential Area,Police Station near IFFCO Chowk
753,253,3,Towards East Avenue,University near IFFCO Chowk
754,253,4,Towards West Avenue,University near IFFCO Chowk
755,254,1,Towards Commercial Hub,Sports Complex near Millennium City Centre Gurugram
756,254,2,Towards West Avenue,Police Station near Millennium City Centre Gurugram
757,254,3,Towards North Block,Central Park near Millennium City Centre Gurugram
